trial,cell_type,units,layers,epoch,train_acc,test_acc
1,GRU,64,1,1,28.8880,30.5390
1,GRU,64,1,2,30.1974,32.6150
1,GRU,64,1,3,32.4296,35.6460
1,GRU,64,1,4,31.8499,34.8727
1,GRU,64,1,5,36.6505,41.0239
1,GRU,64,1,6,42.4200,48.1307
1,GRU,64,1,7,33.2074,36.5868
1,GRU,64,1,8,37.6379,42.0991
1,GRU,64,1,9,32.6933,35.6490
1,GRU,64,1,10,35.4613,40.2630

2,GRU,128,2,1,35.2367,39.6834
2,GRU,128,2,2,32.6540,35.8535
2,GRU,128,2,3,34.6862,38.6135
2,GRU,128,2,4,39.5934,45.7644
2,GRU,128,2,5,44.8732,52.6533
2,GRU,128,2,6,46.3511,54.0632
2,GRU,128,2,7,46.6233,55.1235
2,GRU,128,2,8,48.1514,57.3186
2,GRU,128,2,9,53.9989,64.5258
2,GRU,128,2,10,61.3211,73.8297

3,GRU,256,3,1,35.0512,39.2542
3,GRU,256,3,2,34.1379,37.7949
3,GRU,256,3,3,45.0546,52.5646
3,GRU,256,3,4,41.6627,48.2435
3,GRU,256,3,5,43.3242,49.9880
3,GRU,256,3,6,50.1550,60.1694
3,GRU,256,3,7,46.8598,54.5868
3,GRU,256,3,8,45.4892,52.2190
3,GRU,256,3,9,60.3699,72.2760
3,GRU,256,3,10,59.7497,71.7053

1,MGU,64,1,1,30.2282,32.4824
1,MGU,64,1,2,28.9020,30.7204
1,MGU,64,1,3,29.0627,30.8870
1,MGU,64,1,4,35.6857,39.6597
1,MGU,64,1,5,31.4769,34.2993
1,MGU,64,1,6,31.4511,34.1404
1,MGU,64,1,7,35.5806,39.9989
1,MGU,64,1,8,35.2672,39.6937
1,MGU,64,1,9,37.3864,42.1959
1,MGU,64,1,10,33.7645,37.6026

2,MGU,128,2,1,30.9756,33.5941
2,MGU,128,2,2,33.6187,37.3880
2,MGU,128,2,3,34.0484,37.7035
2,MGU,128,2,4,37.2198,42.6898
2,MGU,128,2,5,45.3964,53.3724
2,MGU,128,2,6,34.9766,38.7629
2,MGU,128,2,7,43.0489,50.1122
2,MGU,128,2,8,45.7791,53.8203
2,MGU,128,2,9,44.8207,52.0338
2,MGU,128,2,10,51.0861,61.1154

3,MGU,256,3,1,31.2379,34.5762
3,MGU,256,3,2,33.9281,37.0205
3,MGU,256,3,3,36.8023,40.3147
3,MGU,256,3,4,41.6925,44.1269
3,MGU,256,3,5,45.1198,48.3316
3,MGU,256,3,6,47.0342,50.9523
3,MGU,256,3,7,42.6183,46.0731
3,MGU,256,3,8,49.2569,54.0046
3,MGU,256,3,9,53.5318,58.4249
3,MGU,256,3,10,51.0032,57.2901
